*,Southeast,Other,Upper_Midwest,South,Southwest,West_North_Central,West,Northeast,Northwest,Central,
Southeast,*,0.0,6.520273079234e-311,0.0,0.0,0.0,5.163175684325075e-29,0.00026198933729459044,5.2975717884224705e-169,4.534378491942187e-95,
Other,0.0,*,0.0,0.0,1.5090419155987846e-185,6.127852251330054e-66,0.0,0.0,6.012609554163413e-127,0.0,
Upper_Midwest,6.520273079234e-311,0.0,*,_,1.1930991177278017e-39,0.0,4.869872078379826e-26,2.8966721619322923e-261,2.5756566496195396e-22,3.912610873921299e-99,
South,0.0,0.0,_,*,3.602942510106077e-41,0.0,1.4996064698690473e-30,0.0,8.94010805006857e-22,2.4971882352473074e-146,
Southwest,0.0,1.5090419155987846e-185,1.1930991177278017e-39,3.602942510106077e-41,*,2.8390613835746413e-87,8.069307736411844e-81,0.0,_,9.648899966249704e-194,
West_North_Central,0.0,6.127852251330054e-66,0.0,0.0,2.8390613835746413e-87,*,0.0,0.0,5.995554818284539e-30,0.0,
West,5.163175684325075e-29,0.0,4.869872078379826e-26,1.4996064698690473e-30,8.069307736411844e-81,0.0,*,3.0602911512782763e-20,3.2720970519547223e-53,_,
Northeast,0.00026198933729459044,0.0,2.8966721619322923e-261,0.0,0.0,0.0,3.0602911512782763e-20,*,1.5715474843581472e-149,3.200917390150873e-64,
Northwest,5.2975717884224705e-169,6.012609554163413e-127,2.5756566496195396e-22,8.94010805006857e-22,_,5.995554818284539e-30,3.2720970519547223e-53,1.5715474843581472e-149,*,1.7612191721130583e-82,
Central,4.534378491942187e-95,0.0,3.912610873921299e-99,2.4971882352473074e-146,9.648899966249704e-194,0.0,_,3.200917390150873e-64,1.7612191721130583e-82,*
