*,Astronomical Low Tide,Avalanche,Blizzard,Coastal Flood,Cold/Wind Chill,Debris Flow,Dense Fog,Dense Smoke,Drought,Dust Devil,Dust Storm,Excessive Heat,Extreme Cold/Wind Chill,Flash Flood,Flood,Freezing Fog,Frost/Freeze,Funnel Cloud,Hail,Heat,Heavy Rain,Heavy Snow,High Surf,High Wind,Hurricane,Ice Storm,Lake-Effect Snow,Lakeshore Flood,Lightning,Marine Dense Fog,Marine Hail,Marine High Wind,Marine Lightning,Marine Strong Wind,Marine Thunderstorm Wind,Marine Tropical Storm,Rip Current,Seiche,Sleet,Sneakerwave,Storm Surge/Tide,Strong Wind,Thunderstorm Wind,Tornado,Tropical Depression,Tropical Storm,Tsunami,Waterspout,Wildfire,Winter Storm,Winter Weather,
Astronomical Low Tide,*,_,_,5.717334890602902e-13,_,1.0908764012570068e-16,_,_,_,1.0191147544706202e-32,_,_,_,3.54004119264625e-25,1.7758620533590996e-19,_,_,_,2.0578081746461114e-05,_,_,_,_,2.776132964696227e-07,2.115182338703791e-35,8.040318929090089e-21,8.977531224231833e-28,2.1942188072781544e-25,1.5687136621668585e-109,1.6902591024339334e-14,_,_,4.241491613715967e-10,1.18979803674593e-09,_,_,_,1.4110026013467633e-13,1.8498105676714326e-05,_,7.058134434001118e-08,0.0,1.762297444383171e-47,1.8091997208123727e-41,4.642377381815268e-21,2.0996668725149576e-24,_,_,4.471374768119666e-16,3.309125659809707e-05,_,
Avalanche,_,*,_,2.500534430439063e-07,_,9.897528789389562e-10,_,_,_,1.6116208224600504e-19,_,_,_,3.573019272748556e-14,6.664643172542168e-11,_,_,_,_,_,_,_,_,_,2.7762651378743885e-19,4.0999632235553045e-12,6.930806647477484e-17,1.6581954484922733e-11,7.664336868234114e-72,_,_,_,_,_,_,_,_,2.1332829241217988e-05,_,_,_,0.0,5.586762978613119e-27,4.255126502109761e-24,4.061000779390195e-07,6.181682878989979e-15,_,_,3.6862803627485e-09,_,_,
Blizzard,_,_,*,6.863674145076934e-17,1.5998145174648645e-34,1.3869843723029607e-25,1.066073709113589e-21,_,8.982286432006753e-74,3.5111574307174484e-36,_,2.9796541028580822e-08,3.1177403418518903e-12,3.0818269839411675e-119,7.912646368238698e-79,_,3.1113888798618444e-08,5.639820568228395e-20,_,7.706122429940088e-19,9.998820338252712e-12,2.1588440238040168e-10,9.134503884895212e-22,5.3354227792656445e-09,4.257025522095463e-24,1.1811460932325945e-57,1.2053924245069455e-75,2.4351165394440004e-08,0.0,_,_,_,_,_,2.618804865741195e-66,_,_,_,_,_,_,0.0,1.4296393817317649e-274,3.873344104501742e-180,_,1.5237248738733058e-39,_,2.954616519670484e-11,1.0408234974712372e-37,_,1.825214631518558e-25,
Coastal Flood,5.717334890602902e-13,2.500534430439063e-07,6.863674145076934e-17,*,1.657241517354406e-107,_,2.590557027708433e-71,_,2.679388817639866e-204,3.044386038330333e-08,7.960730471470707e-06,3.6912659282752036e-26,1.9392482405630102e-54,_,_,5.4908101833143985e-06,1.251345328187357e-37,9.85978005845286e-61,2.2622074750223836e-16,9.598328170442573e-59,1.3687390268264708e-54,5.471247657773425e-53,2.1791525071144055e-68,6.692792483654725e-08,1.365582105374698e-06,_,5.145957115446045e-07,_,2.1442941178790353e-65,_,3.3903018771252854e-06,_,_,_,3.5035254217017563e-200,_,2.108249825609664e-14,_,_,_,_,2.2076739265181306e-284,8.885428467363391e-18,1.9675928785097394e-14,_,2.3749461299389027e-05,_,1.3670006701657195e-34,_,5.066588227242975e-17,3.2439830251812705e-87,
Cold/Wind Chill,_,_,1.5998145174648645e-34,1.657241517354406e-107,*,1.4881361646070557e-138,_,_,_,1.4713320280983454e-240,6.908647711186931e-29,_,4.623963790586242e-12,1.502070129158168e-278,2.872409806037645e-205,1.0751756737970658e-05,6.70962195936433e-09,_,1.9370539906166075e-50,_,6.273249100969731e-14,8.460222126972446e-17,_,3.929340599990144e-71,2.089805273014853e-208,7.596439139951251e-181,6.820769337378944e-226,1.2800818988522827e-90,0.0,1.6958518716681456e-25,_,_,4.071754642259984e-10,2.410434250877175e-27,_,_,_,2.0077694348072518e-32,6.43325877416646e-26,_,3.1188333665291807e-13,0.0,0.0,0.0,1.0613298346939748e-37,3.2228483418322448e-198,_,_,3.8540503190098503e-143,5.702044762878329e-47,1.773974930483153e-10,
Debris Flow,1.0908764012570068e-16,9.897528789389562e-10,1.3869843723029607e-25,_,1.4881361646070557e-138,*,1.235246508167166e-92,_,3.16709798681225e-266,8.627129499472934e-06,4.842764843394486e-09,1.1504823811324547e-33,3.146099014696459e-74,_,_,2.720610069690075e-08,9.603088385719715e-51,2.1723201887955233e-77,2.4472637256107528e-26,3.001142396976208e-75,5.398529120362607e-75,1.253347444050457e-73,8.623525974305248e-88,2.0407881176523318e-14,_,_,_,_,3.3359022067590196e-42,_,5.09130824936586e-08,_,_,_,3.770304821413782e-257,_,1.6514185583839979e-18,_,_,_,_,2.8533089695784066e-234,3.158268662783564e-08,1.3529282659129782e-06,_,_,_,2.9849331274199563e-44,_,5.0471745491298116e-27,2.8830678843715053e-118,
Dense Fog,_,_,1.066073709113589e-21,2.590557027708433e-71,_,1.235246508167166e-92,*,_,_,1.1357963595425637e-153,2.965790144653406e-17,_,2.02112741697516e-06,7.814160539016424e-198,1.0595825095746964e-145,_,_,_,6.841045049643769e-33,_,1.243720632772097e-07,1.5386755452478324e-09,_,9.811979324113678e-48,6.11219300554475e-127,2.0882573248793754e-127,2.690662072304097e-159,2.2994630277177243e-52,0.0,1.507523544662933e-14,_,_,4.9911848653515545e-06,1.0759758117942069e-15,_,_,_,1.638126262338881e-18,3.721685407911144e-15,_,1.094957777142992e-07,0.0,0.0,2.055976377182397e-266,2.3826038331113504e-21,2.5726887775771573e-132,_,_,2.123100878639401e-99,1.5579654220272124e-30,2.4598879828973244e-05,
Dense Smoke,_,_,_,_,_,_,_,*,_,_,_,_,_,_,_,_,_,9.536047274255758e-10,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,6.818068861529278e-55,_,_,_,_,_,_,_,_,_,
Drought,_,_,8.982286432006753e-74,2.679388817639866e-204,_,3.16709798681225e-266,_,_,*,0.0,6.71837371158375e-36,_,4.203884169678301e-21,0.0,0.0,_,6.561657792649892e-11,_,5.3802263946860514e-148,_,3.508847344434799e-27,2.474952436192666e-37,_,4.782823501545519e-202,1.5221548567294324e-222,0.0,0.0,4.186331506756061e-76,0.0,8.909105366010349e-19,_,_,2.6269708679507685e-07,7.087364668896967e-22,_,_,_,6.394947684277594e-25,2.1170658715314778e-26,_,8.228183447524828e-10,0.0,0.0,0.0,1.1084881607901913e-27,0.0,_,_,0.0,3.761486535632821e-131,3.748791317722412e-21,
Dust Devil,1.0191147544706202e-32,1.6116208224600504e-19,3.5111574307174484e-36,3.044386038330333e-08,1.4713320280983454e-240,8.627129499472934e-06,1.1357963595425637e-153,_,0.0,*,7.87344793498488e-19,4.920471439238598e-66,1.4640702071588257e-89,1.3879401209716224e-05,2.117837585824201e-07,2.6822572277010805e-17,5.666380328828687e-75,8.984349254381898e-163,2.0726448959167654e-33,5.663431456535175e-149,2.889244067464511e-86,2.4647114232273253e-80,2.1015651780797681e-168,6.989316160399988e-23,_,8.124361033315952e-06,_,_,_,_,3.84760965894494e-16,2.2739174069160747e-11,_,_,0.0,_,2.227678221726141e-36,_,2.4080364617254793e-12,_,_,2.408989512025544e-11,_,_,_,_,_,4.054295645239599e-89,6.770049306446006e-08,1.8631956542673663e-34,7.678283330296873e-121,
