*,12_December,04_April,02_February,01_January,11_November,09_September,08_August,10_October,05_May,06_June,03_March,07_July,
12_December,*,1.621527378021872e-72,0.0005686578954699172,_,1.8306394208962878e-46,3.8023897567329523e-88,5.233018406343193e-90,1.7858599086493754e-64,2.7005083897108e-75,4.5476196373485245e-201,_,4.45544567001067e-212,
04_April,1.621527378021872e-72,*,1.1037297813239148e-166,1.426397222512713e-125,_,1.0518017292708794e-05,_,_,_,2.1974186825405627e-57,4.410416264000351e-106,2.797882576211992e-67,
02_February,0.0005686578954699172,1.1037297813239148e-166,*,5.0125489167843085e-05,5.606370252996642e-92,5.0165535702907175e-176,2.1738896885128652e-197,1.4044083817783793e-118,1.4396896609534272e-176,0.0,0.0005995835840665659,0.0,
01_January,_,1.426397222512713e-125,5.0125489167843085e-05,*,1.8078210880271947e-66,2.543685090042759e-137,1.7562774482536396e-153,3.1957553246516365e-90,1.3379504796711685e-133,0.0,_,0.0,
11_November,1.8306394208962878e-46,_,5.606370252996642e-92,1.8078210880271947e-66,*,4.209900568464325e-05,_,_,_,1.2254821917569605e-30,6.675065329015481e-61,6.023148395344215e-37,
09_September,3.8023897567329523e-88,1.0518017292708794e-05,5.0165535702907175e-176,2.543685090042759e-137,4.209900568464325e-05,*,_,_,7.13931646949501e-06,1.5373215018333195e-15,1.3949707209130052e-120,3.9292218714471616e-21,
08_August,5.233018406343193e-90,_,2.1738896885128652e-197,1.7562774482536396e-153,_,_,*,_,_,1.2120362004021072e-32,5.58095259952797e-130,5.004345076479573e-41,
10_October,1.7858599086493754e-64,_,1.4044083817783793e-118,3.1957553246516365e-90,_,_,_,*,_,3.083119872964132e-12,7.873965368192528e-83,2.4878920267023706e-16,
05_May,2.7005083897108e-75,_,1.4396896609534272e-176,1.3379504796711685e-133,_,7.13931646949501e-06,_,_,*,9.282450344035359e-63,1.186325494500007e-111,5.094321510493763e-73,
06_June,4.5476196373485245e-201,2.1974186825405627e-57,0.0,0.0,1.2254821917569605e-30,1.5373215018333195e-15,1.2120362004021072e-32,3.083119872964132e-12,9.282450344035359e-63,*,4.938017147470017e-305,_,
03_March,_,4.410416264000351e-106,0.0005995835840665659,_,6.675065329015481e-61,1.3949707209130052e-120,5.58095259952797e-130,7.873965368192528e-83,1.186325494500007e-111,4.938017147470017e-305,*,0.0,
07_July,4.45544567001067e-212,2.797882576211992e-67,0.0,0.0,6.023148395344215e-37,3.9292218714471616e-21,5.004345076479573e-41,2.4878920267023706e-16,5.094321510493763e-73,_,0.0,*
